"CODIGO_DANE_MPIO_HOSPEDAJE","PIB_Dep_2023","Poblacion_Total","MDM_Texto","Valor_Transito_Superior","Cobertura_Acueducto","Indice_Capacidad","Indice_Positivo"
"17653",25947.82,20115.78,"G3- Nivel Medio",23.43,65.99,-1.0254861362877,0.409811247092552
"17662",25947.82,21465.61,"G4- Nivel Medio Bajo",39.46,41.82,-0.914581148006802,0.428960268695889
"17777",25947.82,30039.28,"G3- Nivel Medio",20.07,91.36,-0.812763078767541,0.446540329229635
"17873",25947.82,69069.16,"G2- Nivel Medio Alto",52.41,91.01,1.13423969993806,0.782712748965703
"18001",6178.97,179282.42,"G1- Nivel Alto",51.64,73.85,1.94355469648809,0.922450290018309
"18029",6178.97,4844.41,"G3- Nivel Medio",47.06,96.95,0.430454854995356,0.661196202155609
"18753",6178.97,54626.47,"G3- Nivel Medio",41.01,80.62,-0.0607848663688882,0.576378015141373
"19001",28314.07,343058.96,"G1- Nivel Alto",56.59,76.9,2.20010903215034,0.966747346374179
"19022",28314.07,19697.53,"G5- Nivel Bajo",18.12,90.25,-1.72942733583037,0.288267703862739
"19130",28314.07,45069.94,"G5- Nivel Bajo",14.32,41.9,-2.57503340347758,0.142264092047943
"19142",28314.07,31601.73,"G2- Nivel Medio Alto",24.53,77.87,-0.253818960072321,0.543048459024877
"19212",28314.07,27161.21,"G4- Nivel Medio Bajo",21.01,58.98,-1.46862256041389,0.333298647521057
"19256",28314.07,57792.18,"G5- Nivel Bajo",25.51,89.11,-1.42667913505132,0.340540662247677
"19290",28314.07,5560.08,"G5- Nivel Bajo",13.24,95.87,-1.86072711903509,0.265597286381314
"19300",28314.07,20640.25,"G1- Nivel Alto",34.52,92.9,1.47353865547925,0.841296615483877
"19418",28314.07,20008.43,"G5- Nivel Bajo",8.76,86.45,-2.18681252935487,0.209294890397726
"19455",28314.07,33796.66,"G1- Nivel Alto",41.04,56.62,1.24332942922088,0.801548345228046
"19573",28314.07,44656.2,"G1- Nivel Alto",32.26,98.09,1.44920894927642,0.837095811923078
"19585",28314.07,18668.72,"G5- Nivel Bajo",21.09,34.24,-2.39095601843605,0.174047169414292
"19698",28314.07,118079.7,"G3- Nivel Medio",37.39,86.98,-0.127292584856561,0.564894692724139
"19701",28314.07,5727.44,"G5- Nivel Bajo",38.1,96.04,-0.78581623735286,0.451193011281091
"19780",28314.07,34144.39,"G5- Nivel Bajo",19.43,67.69,-1.99097484212624,0.243108519176896
"19809",28314.07,28161.39,"G5- Nivel Bajo",18.36,69.52,-2.01133657154857,0.239592832437883
"19845",28314.07,22202.18,"G1- Nivel Alto",35.62,99.43,1.61305869424106,0.865386354617896
"20001",32873.18,567641.95,"G1- Nivel Alto",51.93,89.25,2.17318389992814,0.962098412664456
"20011",32873.18,128473.85,"G3- Nivel Medio",62.49,93.89,1.05299677672924,0.768685224002592
"20013",32873.18,70979.06,"G2- Nivel Medio Alto",42.11,81.82,0.560309583132242,0.683617114261841
"20045",32873.18,25258.41,"G1- Nivel Alto",32.98,89.39,1.35761374698562,0.821280846928121
"20060",32873.18,46906.26,"G3- Nivel Medio",30.08,96.04,-0.314928739004944,0.532497152946632
"20175",32873.18,39719.71,"G5- Nivel Bajo",22.78,65.74,-1.87394081379969,0.263315790026377
"20178",32873.18,32340.46,"G2- Nivel Medio Alto",41.28,100,0.780813590516478,0.721689666871724
"20228",32873.18,43606.62,"G4- Nivel Medio Bajo",51.65,58.3,-0.156333772037965,0.559880397791663
"20238",32873.18,35043.01,"G3- Nivel Medio",35.71,80.25,-0.294654791036293,0.535997683208205
"20250",32873.18,43668.57,"G2- Nivel Medio Alto",31.33,100,0.351549087631383,0.647572214025755
"20295",32873.18,17501.72,"G3- Nivel Medio",52.29,100,0.699088995763915,0.707578975777496
"20383",32873.18,20013.49,"G2- Nivel Medio Alto",33.54,78.08,0.137852611067017,0.610675059896641
"20400",32873.18,54417.57,"G1- Nivel Alto",41.83,55.43,1.26063443828382,0.804536254045572
"20443",32873.18,11815.63,"G4- Nivel Medio Bajo",30.23,84.74,-0.70767267406381,0.464685396112274
"20517",32873.18,21690.81,"G4- Nivel Medio Bajo",43.96,60.58,-0.455952251439759,0.508147821793438
"20550",32873.18,24220.35,"G3- Nivel Medio",40.45,85.92,-0.010222056021073,0.585108265806234
"20570",32873.18,31367.54,"G5- Nivel Bajo",24.84,65.27,-1.79169428980711,0.277516598205936
"20614",32873.18,19607.63,"G3- Nivel Medio",38.51,54.94,-0.530691544574061,0.495243223352636
"20621",32873.18,32407.96,"G3- Nivel Medio",41.31,77.06,-0.0980331269454449,0.569946674608153
"20710",32873.18,30693.9,"G1- Nivel Alto",47.6,99.3,2.12806897005771,0.954308801213132
"20750",32873.18,22116.99,"G4- Nivel Medio Bajo",45.68,85.4,-0.0318212290165656,0.581378920204057
"20770",32873.18,31112.86,"G1- Nivel Alto",46.08,99.22,2.0613649996015,0.942791593636686
"20787",32873.18,17841.01,"G4- Nivel Medio Bajo",27.08,62.73,-1.15388000538444,0.387642569099076
"23001",27752.19,527504.61,"Ciudades",40.14,91.39,1.17514793424772,0.789776026052627
"23068",27752.19,49241.7,"G4- Nivel Medio Bajo",20.13,100,-0.928264324178593,0.426597710977094
"23079",27752.19,22827.76,"G3- Nivel Medio",16.8,94.64,-0.907594636216881,0.430166570299369
"23162",27752.19,114154.91,"G3- Nivel Medio",35.92,98.67,-0.0258992793342234,0.582401412917494
"23182",27752.19,51689.81,"G5- Nivel Bajo",33.33,69.26,-1.36916404815014,0.350471303408731
"23189",27752.19,63760.43,"G3- Nivel Medio",26.76,57.3,-1.00433931242405,0.413462489415228
"23300",27752.19,20588.01,"G5- Nivel Bajo",16.58,88.01,-1.82744706052933,0.271343471193787
"23417",27752.19,118499.9,"G4- Nivel Medio Bajo",27.09,91.16,-0.752626241031349,0.456923645821762
"23466",27752.19,86695.85,"G2- Nivel Medio Alto",35.7,74.67,0.182963555612821,0.618463983235838
"23555",27752.19,68871.09,"G3- Nivel Medio",22.68,85.97,-0.776153330165234,0.45286142332779
"23570",27752.19,38695.5,"G4- Nivel Medio Bajo",18.37,58.64,-1.5873113794738,0.312805658021827
"23660",27752.19,116118.5,"G2- Nivel Medio Alto",34.65,100,0.494781062463394,0.672302861608531
"23670",27752.19,50842.1,"G5- Nivel Bajo",16.89,40.6,-2.48248619035824,0.158243432660308
"23672",27752.19,36630.41,"G4- Nivel Medio Bajo",13.28,77.33,-1.54340270769221,0.320386995142479
"23686",27752.19,55117.54,"G5- Nivel Bajo",27.31,45.13,-1.96907835003467,0.246889200340099
"23807",27752.19,99853.31,"G4- Nivel Medio Bajo",23.43,91.94,-0.899529666100003,0.43155908013497
"23855",27752.19,38594.79,"G5- Nivel Bajo",21.03,50.94,-2.15809843048671,0.214252709771495
"25001",99387.91,14130.12,"G2- Nivel Medio Alto",47,100,1.02758675197404,0.764297891020361
"25019",99387.91,7788.54,"G2- Nivel Medio Alto",52.78,81.77,1.01993151350915,0.762976126066277
"25035",99387.91,17762.47,"G1- Nivel Alto",34.38,68.46,1.12292970415303,0.780759948131599
"25040",99387.91,16605.39,"G3- Nivel Medio",54.55,18.98,-0.345675854844282,0.527188309813656
"25053",99387.91,12648.42,"G2- Nivel Medio Alto",49.57,80.04,0.857054650440953,0.734853562618752
"25095",99387.91,2997.95,"G2- Nivel Medio Alto",36.36,33.55,-0.368295813054857,0.523282713905348
